movie_name,Directed by,Produced by,Productioncompany,Distributed by,Running time (mins),Country,Language, Budget ,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies,,,,,,,,,,
Snow White and the Seven Dwarfs (1937 film),"David Hand, Perce Pearce, Larry Morey, Wilfred Jackson, Ben Sharpsteen",Walt Disney,Walt Disney Productions,RKO Radio Pictures,83,United States,English," $1,500,000.00 ",,,,,,,,,,,,,,,,,,
Pinocchio (1940 film),"Ben Sharpsteen, Hamilton Luske, Norman Ferguson, Jack Kinney, Wilfred Jackson, T. Hee",Walt Disney,Walt Disney Productions,RKO Radio Pictures,88,United States,English," $2,600,000.00 ",,,,,,,,,,,,,,,,,,
Fantasia (1940 film),"James Algar, Ben Sharpsteen, David D. Hand, Hamilton Luske, Ford Beebe, T. Hee, Norman Ferguson, Wilfred Jackson",Walt Disney,Walt Disney Productions,RKO Radio Pictures,126,United States,English," $2,280,000.00 ",Deems Taylor,James Wong Howe,13/11/1940,,,,,,,,,,,,,,,
The Reluctant Dragon (1941 film),"Alfred Werker, Hamilton Luske, Jack Cutting, Ub Iwerks, Jack Kinney",Walt Disney,Walt Disney Productions,RKO Radio Pictures,74,United States,English," $6,000,000.00 ",,Bert Glennon,27/06/1941,Ted Sears and crew,Paul Weatherwax,,,,,,,,,,,,,
Dumbo,"Ben Sharpsteen, Norman Ferguson, Wilfred Jackson, Jack Kinney",Walt Disney,Walt Disney Productions,RKO Radio Pictures,64,United States,English," $950,000.00 ",John McLeish,,,,,,,,,,,,,,,,,
Bambi,"David Hand, James Algar",Walt Disney,Walt Disney Productions,RKO Radio Pictures,70,United States,English," $858,000.00 ",,,,,,,,,,,,,,,,,,
Saludos Amigos,"Norman Ferguson, Wilfred Jackson, Jack Kinney, Hamilton Luske",Walt Disney,Walt Disney Productions,RKO Radio Pictures,42,United States,English,,,,,,,,,,,,,,,,,,,
Victory Through Air Power (film),"James Algar, Clyde Geronimi, Jack Kinney, H.C. Potter",Walt Disney,Walt Disney Productions,United Artists,65,United States,English," $788,000.00 ",Art Baker,Ray Rennahan,17/07/1943,"Perce Pearce, T. Hee",Jack Dennis,,,,,,,,,,,,,
The Three Caballeros,"Norman Ferguson, Clyde Geronimi, Jack Kinney, Harold Young",Walt Disney,Walt Disney Productions,RKO Radio Pictures,71,United States,English,,,,,,,,,,,,,,,,,,,
Make Mine Music,"Jack Kinney, Clyde Geronimi, Hamilton Luske, Joshua Meador","Walt Disney, Joe Grant",Walt Disney Productions,RKO Radio Pictures,75,United States,English," $1,350,000.00 ",,,,,,,,,,,,,,,,,,
Song of the South,Wilfred Jackson,"Walt Disney, Perce Pearce",Walt Disney Productions,RKO Radio Pictures,94,United States,English," $2,125,000.00 ",,Gregg Toland,,,William M. Morgan,"Maurice Rapf, Dalton S. Reymond, Bill Peet, George Stallings, Ralph Wright",,,,,,,,,,,,
Fun and Fancy Free,"Jack Kinney, Hamilton Luske, William Morgan","Walt Disney, Ben Sharpsteen",Walt Disney Productions,RKO Radio Pictures,73,United States,English,,,,27/09/1947,,Jack Bachom,,,,,,,,,,,,,
Melody Time,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney","Walt Disney, Ben Sharpsteen",Walt Disney Productions,RKO Radio Pictures,75,United States,English," $1,500,000.00 ",,Winton Hoch,27/05/1948,,Donald HallidayThomas Scott,,,,,,,,,,,,,
So Dear to My Heart,"Harold D. Schuster, Hamilton Luske","Walt Disney, Perce Pearce",Walt Disney Productions,RKO Radio Pictures,82,United States,English," $1,500,000.00 ",,Winton C. Hoch,,Ken Anderson and crew,Lloyd L. RichardsonThomas Scott,,,,,,,,,,,,,
The Adventures of Ichabod and Mr. Toad,"Ben Sharpsteen, Jack Kinney, Clyde Geronimi, James Algar",Walt Disney,Walt Disney Productions,RKO Radio Pictures,68,United States,English,,,,05/10/1949,,John O. Young,,,,,,,,,,,,,
Cinderella (1950 film),"Wilfred Jackson, Hamilton Luske, Clyde Geronimi","Walt Disney, Ben Sharpsteen",Walt Disney Productions,RKO Radio Pictures,74,United States,English," $2,200,000.00 ",,,,,Donald Halliday,,,,,,,,,,,,,
Treasure Island (1950 film),Byron Haskin,"Walt Disney, Perce Pearce",RKO-Walt Disney British Productions Limited,RKO Radio Pictures,96,,English," $1,800,000.00 ",,Freddie Young,,Lawrence Edward Watkin,Alan Jaggs,,"United States,United Kingdom",,,,,,,,,,,
Alice in Wonderland (1951 film),"Ben Sharpsteen, Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Walt Disney,Walt Disney Productions,RKO Radio Pictures,75,United States,English," $3,000,000.00 ",,,,,Lloyd Richardson,,,,,,,,,,,,,
The Story of Robin Hood (film),Ken Annakin,"Perce Pearce, Walt Disney",RKO-Walt Disney British Productions Limited,RKO Radio Pictures,84,,English,,,Guy Green,,Lawrence Edward Watkin,Gordon Pilkington,,"United States,United Kingdom",,,,,,,,,,,
Peter Pan (1953 film),"Hamilton Luske, Clyde Geronimi, Wilfred Jackson",Walt Disney,Walt Disney Productions,RKO Radio Pictures,77,United States,English," $4,000,000.00 ",Tom Conway,,05/02/1953,,Donald Halliday,,,,,,,,,,,,,
The Sword and the Rose,Ken Annakin,"Perce Pearce, Walt Disney",RKO-Walt Disney British Productions Limited,RKO Radio Pictures ,92,,English," $2,000,000.00 ",,Geoffrey Unsworth,23/07/1953,,Gerald Thomas,Lawrence Edward Watkin,United Kingdom  United States,,,,,,,,,,,
The Living Desert,James Algar,"Ben Sharpsteen, Walt Disney",Walt Disney Productions,Buena Vista Distribution,69,United States,English,,Winston Hibler,N. Paul Kenworthy,10/11/1953,"James Algar, 'Winston Hibler'",Norman R. Palmer,,,,,,,,,,,,,
Rob Roy: The Highland Rogue,Harold French,"Perce Pearce, Walt Disney",RKO-Walt Disney British Productions Limited,RKO Radio Pictures,81,,English," $1,800,000.00 ",,Guy Green,,Lawrence Edward Watkin,Geoffrey Foot,,"United Kingdom,United States",,,,,,,,,,,
The Vanishing Prairie,James Algar,"Ben Sharpsteen, Walt Disney",Walt Disney Productions,Buena Vista Distribution,60,United States,English,,Winston Hibler,N. Paul Kenworthy,17/08/1954,"James Algar, 'Winston Hibler'",Lloyd L. Richardson,,,,,,,,,,,,,
"20,000 Leagues Under the Sea (1954 film)",Richard Fleischer,Walt Disney,Walt Disney Productions,Buena Vista Distribution,127,United States,English," $5,000,000.00 ",,Franz Planer,23/12/1954,,Elmo Williams,Earl Felton,,,,,,,,,,,,
Davy Crockett: King of the Wild Frontier (film),Norman Foster,Bill Walsh,Walt Disney Productions,Buena Vista Distribution,93,United States,English,,,Charles P. Boyle,25/05/1955,Tom Blackburn,Chester W. Schaeffer,,,,,,,,,,,,,
Lady and the Tramp,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Walt Disney,Walt Disney Productions,Buena Vista Distribution,76,United States,English," $4,000,000.00 ",,,22/06/1955,,Don Halliday,,,,,,,,,,,,,
The African Lion,James Algar,"Walt Disney, Ben Sharpsteen",Walt Disney Productions,Buena Vista Distribution,75,United States,English,,Winston Hibler,Alfred MilotteElma Milotte,14/09/1955,"James Algar, 'Winston Hibler'",Norman R. Palmer,,,,,,,,,,,,,
The Littlest Outlaw,Roberto Gavaldón,,Walt Disney Productions,Buena Vista Distribution,73,,,,,Alex Phillips,22/12/1955,,Carlos Savage,,"United States,Mexico",,,,,,,,,,,
